"Time_Iter";"Outer_Iter";"Inner_Iter";    "rms[Rho]"    ;    "rms[RhoU]"   ;    "rms[RhoV]"   ;    "rms[RhoE]"   
          0;           0;          80;      -0,933836687;       2,018591964;       1,562919248;       4,833927767
          0;           0;          81;     -0,9486072528;       1,965982455;       1,637256331;       4,824269828
          0;           0;          82;     -0,9530580196;       1,979736229;       1,594100904;       4,817939826
          0;           0;          83;     -0,9132410842;       1,992790114;       1,708869395;       4,856150172
          0;           0;          84;     -0,8966650654;       2,045773892;        1,64133224;       4,867244659
          0;           0;          85;     -0,9338648183;       1,956947486;       1,709253471;       4,840128204
          0;           0;          86;     -0,9540161886;       1,976033108;       1,588269786;        4,81663048
          0;           0;          87;     -0,9073771769;       1,993790038;       1,730002608;       4,859344054
          0;           0;          88;     -0,9169850816;       2,026938142;       1,607845301;       4,845177787
          0;           0;          89;     -0,9227865514;       1,977547306;       1,706228609;       4,845959778
          0;           0;          90;     -0,9514121879;       1,983286056;       1,579319391;       4,816203052
          0;           0;          91;     -0,9108651421;       2,002700254;       1,699254271;       4,854850544
          0;           0;          92;     -0,9333437199;       2,012189293;       1,593314015;       4,831076064
          0;           0;          93;      -0,914196357;       2,001836023;       1,694590996;       4,852537356
          0;           0;          94;     -0,9619847133;       1,975277209;       1,579724446;       4,819806674
          0;           0;          95;     -0,9259837665;       1,996338076;       1,666102238;       4,851274329
          0;           0;          96;     -0,9429382593;       2,008166586;       1,568873706;       4,835137221
          0;           0;          97;     -0,9171303972;       2,005177111;       1,684178529;       4,859614992
          0;           0;          98;     -0,9631320621;       1,980239067;       1,561952942;       4,818824076
          0;           0;          99;      -0,919444517;       2,008478546;       1,659804986;       4,854406776
          0;           0;         100;     -0,9349403375;        2,01839801;       1,568097835;       4,837820883
          0;           0;         101;     -0,9109577524;       2,009641955;       1,693506362;       4,864194211
          0;           0;         102;     -0,9643620559;        1,97388053;       1,580831182;       4,826402715
          0;           0;         103;     -0,9138425061;       2,015594166;       1,679079127;       4,868106297
          0;           0;         104;     -0,9331153085;       2,022587351;       1,575044051;       4,850213687
          0;           0;         105;     -0,8826339042;       2,054975261;       1,702711721;        4,89677181
          0;           0;         106;     -0,9039986602;       2,051509793;       1,624185905;       4,876607466
          0;           0;         107;     -0,8730668124;       2,053929673;        1,73242399;       4,903420938
          0;           0;         108;     -0,8964475916;       2,051663012;       1,639499137;       4,884486007
          0;           0;         109;     -0,8812693343;       2,066634781;       1,674198658;         4,8961607
          0;           0;         110;      -0,904786079;       2,053404551;       1,602883603;       4,878894494
          0;           0;         111;     -0,8900637815;       2,044884633;       1,679780218;       4,890821845
          0;           0;         112;     -0,8985406325;        2,06077526;       1,593227136;       4,877023941
          0;           0;         113;     -0,8658585941;       2,062097201;       1,740539634;       4,910103221
          0;           0;         114;     -0,8909861468;        2,05472684;       1,659379734;       4,890484461
          0;           0;         115;     -0,8733086455;        2,05565723;       1,725555353;       4,907724699
          0;           0;         116;     -0,8872843318;       2,068198454;       1,623895079;       4,890834706
          0;           0;         117;     -0,6264452152;       2,363428329;       1,767138057;       5,116707233
          0;           0;         118;     -0,7977236948;       2,175715526;       1,622524801;       4,972338618
          0;           0;         119;     -0,8394956569;       2,111022573;        1,69916405;       4,950686528
          0;           0;         120;     -0,9281581322;       2,020329597;       1,559134784;       4,862321487
          0;           0;         121;     -0,8850147786;       2,043923666;       1,688229814;       4,900422424
          0;           0;         122;     -0,9293032149;       2,010770376;       1,601239639;       4,855431539
          0;           0;         123;     -0,9162500989;       2,009057316;       1,655868008;       4,867046024
          0;           0;         124;     -0,9481961197;       1,993586028;       1,553373565;       4,836837678
          0;           0;         125;     -0,9246509487;       1,989809499;       1,662823746;        4,85761198
          0;           0;         126;     -0,9154584708;       2,033950904;       1,593557465;       4,865685146
          0;           0;         127;     -0,9343967854;       1,978343468;       1,661405298;       4,851855672
          0;           0;         128;     -0,9605005753;       1,973606252;       1,560010477;       4,824313154
          0;           0;         129;     -0,9269543764;       1,978869932;       1,674651452;        4,85515084
          0;           0;         130;     -0,9267182465;       2,008428167;       1,618389798;       4,851023611
          0;           0;         131;     -0,8853182445;       2,022287174;       1,734140135;       4,890741907
          0;           0;         132;      -0,943855255;       1,985959875;       1,586683235;       4,839257736
          0;           0;         133;      -0,916752374;       1,978321761;       1,711843734;       4,864376657
          0;           0;         134;     -0,9583420796;         1,9671691;       1,589331304;       4,828361182
          0;           0;         135;     -0,9326876259;       1,967108022;       1,696788702;       4,852040537
          0;           0;         136;     -0,9327798821;       2,011230481;       1,597598104;       4,849784343
          0;           0;         137;     -0,9438791834;       1,966453083;       1,653392394;       4,841170612
          0;           0;         138;     -0,9674991449;       1,966260329;       1,564045003;       4,818902545
          0;           0;         139;     -0,9498786556;       1,962690571;       1,641869175;       4,833237556
          0;           0;         140;     -0,9613937244;       1,979932446;       1,551868948;       4,823918757
          0;           0;         141;     -0,9493177692;       1,974938628;       1,616772923;       4,837143565
          0;           0;         142;     -0,9533788699;       1,998949582;       1,521204353;       4,831657598
          0;           0;         143;     -0,9374795995;       1,991796476;       1,626103877;       4,847895596
          0;           0;         144;     -0,9298890911;       2,032826186;       1,538077388;       4,855293608
          0;           0;         145;     -0,9332298862;       1,996333518;       1,627864703;       4,850280501
          0;           0;         146;     -0,9538340835;       1,995692952;       1,530645987;       4,833142484
          0;           0;         147;     -0,9327253663;       1,995490289;        1,63724611;       4,854387434
          0;           0;         148;     -0,9395969026;        2,00847658;        1,57393296;       4,846223306
          0;           0;         149;     -0,9277259623;       1,995542584;       1,659303927;       4,859505774
          0;           0;         150;     -0,9592913643;       1,974137706;       1,579144868;       4,828597338
          0;           0;         151;      -0,917080936;       2,010634456;       1,660046413;       4,866721813
          0;           0;         152;     -0,9410481665;       2,000534527;       1,597181508;       4,846368926
          0;           0;         153;     -0,9247824391;       1,997151516;       1,671186568;       4,860525789
          0;           0;         154;     -0,9661763821;        1,97137928;       1,563786476;       4,826093766
          0;           0;         155;     -0,9494416003;       1,966500255;       1,645428406;       4,840562333
          0;           0;         156;     -0,9515634548;       1,996125397;       1,561689725;        4,83390389
          0;           0;         157;     -0,9446720477;       1,978299759;       1,639462072;       4,840327993
          0;           0;         158;     -0,9770158301;       1,965033404;       1,531196344;       4,810817308
          0;           0;         159;      -0,956375617;       1,964737968;       1,617879553;       4,831010909
          0;           0;         160;     -0,9655397609;       1,985665598;       1,516659226;       4,819920525
          0;           0;         161;     -0,9422119969;       1,986492241;        1,63303513;       4,844898204
          0;           0;         162;     -0,9705970295;       1,976093718;       1,530278096;       4,816741016
          0;           0;         163;     -0,9586828071;       1,958292933;       1,621912968;       4,828425905
          0;           0;         164;     -0,9578926942;       1,991778484;       1,538975211;       4,828357335
          0;           0;         165;     -0,9433507852;       1,978051375;       1,642395353;       4,842636021
          0;           0;         166;     -0,9669078047;       1,972361394;       1,562962718;       4,820777294
          0;           0;         167;      -0,957351537;       1,957133859;       1,631047191;       4,830130286
          0;           0;         168;     -0,9609968185;       1,981845405;       1,561961347;         4,8276735
          0;           0;         169;     -0,9408583034;       1,981324432;       1,649640923;       4,845207801
          0;           0;         170;     -0,9592826025;       1,981648797;       1,573423017;       4,827409984
          0;           0;         171;     -0,9404833201;       1,984746274;       1,640256334;       4,844212966
          0;           0;         172;     -0,9810460175;       1,954946165;       1,538460505;       4,808873867
          0;           0;         173;     -0,9393107617;       1,988624473;        1,63408329;       4,845798577
          0;           0;         174;     -0,9742431263;       1,968376191;       1,540486209;       4,813928662
          0;           0;         175;     -0,9439688511;       1,979803984;       1,637885877;       4,841649271
          0;           0;         176;     -0,9885169862;       1,947979692;       1,521791997;       4,800936965
          0;           0;         177;     -0,9521303536;       1,965947274;       1,629592726;       4,832302464
          0;           0;         178;     -0,9648150603;       1,980120481;       1,545204945;       4,820950436
          0;           0;         179;     -0,9449331747;       1,974810478;       1,644942564;        4,84111107
          0;           0;         180;     -0,9828461417;       1,952211249;       1,540428225;       4,807815733
          0;           0;         181;     -0,9548324939;       1,958973934;       1,638668664;       4,833916251
          0;           0;         182;     -0,9720931594;       1,963515358;       1,565199094;       4,817325231
          0;           0;         183;     -0,9373767883;       1,984659119;       1,654177187;       4,848698776
          0;           0;         184;     -0,9639005443;       1,974012898;       1,571400654;       4,823476184
          0;           0;         185;     -0,9566963842;       1,957407672;       1,634591845;       4,831344537
          0;           0;         186;     -0,9678261592;        1,97327583;       1,552646829;       4,819810282
          0;           0;         187;     -0,9534533999;        1,96530228;       1,637354486;       4,834470197
          0;           0;         188;     -0,9612667872;       1,987039261;       1,545562999;       4,825919153
          0;           0;         189;     -0,9679710851;       1,946521928;       1,614847748;       4,820169905
          0;           0;         190;     -0,9634208527;        1,98847094;       1,518893464;       4,820991012
          0;           0;         191;     -0,9422201622;       1,985733465;       1,629862314;       4,842255533
          0;           0;         192;     -0,9784133822;       1,965256541;       1,523963771;        4,80948203
          0;           0;         193;     -0,9524966815;        1,97015219;       1,623078672;       4,833909646
          0;           0;         194;     -0,9769341021;       1,965680279;       1,529402474;       4,812304316
          0;           0;         195;     -0,9538528826;       1,963147209;       1,632644714;       4,834412032
          0;           0;         196;     -0,9736458689;       1,964531122;       1,553217074;       4,815790359
          0;           0;         197;     -0,9275637946;       2,003545806;       1,655138875;       4,859704791
          0;           0;         198;     -0,9605208507;       1,978076835;       1,579722169;       4,827157567
          0;           0;         199;     -0,9548259501;       1,956478718;       1,644007451;       4,832834758
          0;           0;         200;     -0,9547946843;       1,987316603;       1,576335909;       4,832975604
          0;           0;         201;     -0,9505132123;       1,966910749;        1,64475913;        4,83844342
          0;           0;         202;     -0,9723623567;       1,964838776;       1,561964788;        4,81839579
          0;           0;         203;     -0,9525706672;       1,970280286;       1,626012671;       4,835192358
          0;           0;         204;     -0,9621197656;       1,988221111;       1,532025609;       4,825184807
          0;           0;         205;     -0,9357851068;       1,998756727;        1,63037234;       4,851663201
